seed,success,iterations,elapsed_time
10,0,25,408.89
6,1,24,503.03
7,0,25,463.25
8,0,25,565.36
9,0,25,526.94
51,0,25,389.91
52,0,25,394.20
53,1,22,285.07
54,0,25,356.86
55,1,4,21.46
11,0,25,459.82
12,1,17,195.06
13,1,15,150.66
14,0,25,361.71
15,1,7,56.04
16,1,20,349.43
17,0,25,339.01
18,1,4,16.75
19,1,15,323.02
20,1,4,21.11
21,0,25,532.80
22,0,25,719.98
23,0,25,385.65
24,1,18,273.18
25,0,20,479.55
26,1,20,328.06
27,0,25,416.07
28,0,25,323.74
29,0,25,326.61
30,1,4,20.91
31,0,25,548.37
32,1,16,246.11
33,0,25,424.70
34,1,9,90.39
35,0,25,629.86
36,0,25,399.20
37,0,25,528.72
38,0,25,672.49
39,0,25,494.38
40,1,19,303.55
41,1,8,76.56
42,0,25,381.38
43,1,13,129.98
44,0,25,703.20
45,0,25,515.84
46,1,25,378.97
47,0,25,450.36
48,1,19,401.28
49,0,25,502.76
50,1,10,119.55
